"VARIABLENAME","VARIABLELABEL","VARTYPE","UNITS","CATEGORICAL","MISSING","COUNT","NA","MIN","MAX","Formula","categorical value concept code","categorical value concept name","categorical value omop id","variable concept code","variable concept name","variable omop id","additional context concept name","additional context concept code","additional context omop id","unit concept name","unit concept code","unit omop id","domain","visits","visit omop id","visit concept name","visit concept code"
"BLSpiro","Baseline which MRA (Mineralocorticoid receptor antagonist)","INT",,"0=none | 1=Spironolactone | 2=Eplerenone",,622,0,0,1,,"loinc:LA32-8|rxnorm:9997|rxnorm:298869","No|spironolactone|eplerenone","45878245|970250|1309799","atc:C03DA","Aldosterone antagonists",21601533,"Type","snomed:410656007",4259643,,,,"Drug_Exposure","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"BLTora","Baseline Torasemide","INT",,"1=yes|0=no",,622,0,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","RxNorm:38413","torsemide",942350,,,,,,,"Drug_Exposure","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"BNP_guided","Study group allocation NT-proBNP guided = 1","INT",,"1=NT-proBNP guided|0=control group (standard care)",,622,0,0,1,,,,,"snomed:876783001","Clinical trial arm",618771,,,,,,,"Observation","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"BNP1_reached","BNP target in BNP guided arm reached reached at Visit1","INT",,"1=yes|0=no",,564,58,0,1,"<age75 400pg/ml >age75 800 pg/ml","loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","loinc:33762-6","Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma",3029187,"Target parameter|Clinical trial arm","snomed:1055210001|snomed:876783001","602639|618771",,,,"Observation","month 1",4081745,"follow-up 1 month","snomed:183623000"
"BNP12_reached","BNP target in BNP guided arm reached reached at Visit12","INT",,"1=yes|0=no",,444,178,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","loinc:33762-6","Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma",3029187,"Target parameter|Clinical trial arm","snomed:1055210001|snomed:876783001","602639|618771",,,,"Observation","month 12",4081746,"follow-up 1 year","snomed:183627004"
"BNP18_reached","BNP target in BNP guided arm reached reached at Visit18","INT",,"1=yes|0=no",,406,216,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","loinc:33762-6","Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma",3029187,"Target parameter|Clinical trial arm","snomed:1055210001|snomed:876783001","602639|618771",,,,"Observation","month 18",44789050,"follow-up 18 months","snomed:199591000000102"
"BNP3_reached","BNP target in BNP guided arm reached reached at Visit3","INT",,"1=yes|0=no",,521,101,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","loinc:33762-6","Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma",3029187,"Target parameter|Clinical trial arm","snomed:1055210001|snomed:876783001","602639|618771",,,,"Observation","month 3",44789369,"follow-up 3 months","snomed:200521000000107"
"BNP6_reached","BNP target in BNP guided arm reached reached at Visit6","INT",,"1=yes|0=no",,489,133,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","loinc:33762-6","Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma",3029187,"Target parameter|Clinical trial arm","snomed:1055210001|snomed:876783001","602639|618771",,,,"Observation","month 6",4103967,"follow-up 6 months","snomed:300042001"
"BradycardiaAEs","Bradycardia Aes adverse events","INT",,,,622,0,0,3,,,,,"loinc:LA7266-5 ","Adverse event ",45884383,"Bradycardia","snomed:48867003",4169095,,,,"Condition_occurrence","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"Bronchialobstruction","Bronchial obstruction Y/N at baseline","INT",,"1=yes|0=no",,620,2,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","snomed:36925002","Obstruction of bronchus",4279071,,,,,,,"Observation","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
