VARIABLENAME,VARIABLELABEL,VARTYPE,UNITS,CATEGORICAL,MISSING,COUNT,NA,MIN,MAX,Formula,Categorical Value Concept Code,Categorical Value Concept Name,Categorical Value OMOP ID,Variable Concept Code,Variable Concept Name,Variable OMOP ID,Additional Context Concept Name,Additional Context Concept Code,Additional Context OMOP ID,Unit Concept Name,Unit Concept Code,Unit OMOP ID,Domain,Visits,Visit OMOP ID,Visit Concept Name,Visit Concept Code
assmec,Temporary mechanical support,INT,,2= No| 3=Yes,1,5259,5730,2,3,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:232957001,Cardiac support procedure,4336747,,,,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
ufilt,Ultrafiltration,INT,,2= No| 3=Yes,1,5259,5730,2,3,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:182750009,Ultrafiltration,4080968,,,,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
nocompl,Worsening HF reason - Patient not compliant with treatments,INT,,2= No| 3=Yes,1,5259,5730,2,3,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,omop:OMOP5166003,Exacerbation of heart failure,1340348,Noncompliance with medication regimen,snomed:129834002,4305297,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
menoter,Worsening HF reason - Inappropriate down titration of therapy for HF,INT,,2= No| 3=Yes,1,5259,5730,2,3,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,omop:OMOP5166003,Exacerbation of heart failure,1340348,Medication dosage form inappropriate,snomed:6111000124105,764778,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
aguana,Worsening HF reason - Excessive intake of sodium and/or water,INT,,2= No| 3=Yes,1,5259,5730,2,3,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,omop:OMOP5166003,Exacerbation of heart failure,1340348,Excessive sodium intake,snomed:440921000124100,763447,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
arit,Arrhythmia,INT,,2= No| 3=Yes,1,5259,5730,2,3,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:698247007,Cardiac arrhythmia,44784217,,,,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
bradi,Bradycardia (if YES arrhythmia),STR,,F=No|T=Yes,,5259,5730,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:48867003,Bradycardia,4169095,,,,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
tachi,Tachycardia(if YES arrhythmia),STR,,F=No|T=Yes,,5259,5730,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:3424008,Tachycardia,444070,,,,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
farapi,Rapid AF (if YES Tachycardia),INT,,2= No| 3=Yes,1,5259,5730,1,3,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:314208002,Rapid atrial fibrillation,4199501,,,,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
fcmed,mean cardiac function (if YES Tachycardia),FLOAT,beats/min,,,407,10582,73,250,,,,,snomed:86185002,cardiac function,4313573,mean,SNOMED:255586005,4115464,counts per minute,,8483,Observation,event date,4208903,Date of event,SNOMED:439771001
